"year","site","state","sex","race","mortality","incidence","population"
1999,"Brain and Other Nervous System","connecticut","Male","Hispanic",0,0,153769
1999,"Brain and Other Nervous System","connecticut","Male","White",95.64,133,1427459
1999,"Brain and Other Nervous System","delaware","Female","Black",0,0,80684
1999,"Brain and Other Nervous System","delaware","Female","Hispanic",0,0,16125
1999,"Brain and Other Nervous System","delaware","Female","White",16.92,25,307558
1999,"Brain and Other Nervous System","delaware","Male","Black",0,0,72959
1999,"Brain and Other Nervous System","delaware","Male","Hispanic",0,0,18692
1999,"Brain and Other Nervous System","delaware","Male","White",0,24,293655
1999,"Brain and Other Nervous System","district of columbia","Female","Black",0,0,193200
1999,"Brain and Other Nervous System","district of columbia","Female","Hispanic",0,0,20837
1999,"Brain and Other Nervous System","district of columbia","Female","White",0,0,98382
1999,"Brain and Other Nervous System","district of columbia","Male","Black",0,0,160821
1999,"Brain and Other Nervous System","district of columbia","Male","Hispanic",0,0,23517
1999,"Brain and Other Nervous System","district of columbia","Male","White",0,0,98977
1999,"Brain and Other Nervous System","florida","Female","Black",27.62,39,1255363
1999,"Brain and Other Nervous System","florida","Female","Hispanic",33.38,0,1283913
1999,"Brain and Other Nervous System","florida","Female","White",324.82,481,6629027
1999,"Brain and Other Nervous System","florida","Male","Black",23.27,43,1163720
1999,"Brain and Other Nervous System","florida","Male","Hispanic",30.63,0,1276282
1999,"Brain and Other Nervous System","florida","Male","White",400.03,581,6349696
1999,"Brain and Other Nervous System","georgia","Female","Black",18.59,23,1239075
1999,"Brain and Other Nervous System","georgia","Female","Hispanic",0,0,155194
1999,"Brain and Other Nervous System","georgia","Female","White",101.98,191,2756311
1999,"Brain and Other Nervous System","georgia","Male","Black",26.51,38,1104549
1999,"Brain and Other Nervous System","georgia","Male","Hispanic",0,0,225104
1999,"Brain and Other Nervous System","georgia","Male","White",137.36,205,2747297
1999,"Brain and Other Nervous System","hawaii","Female","Black",0,0,12866
1999,"Brain and Other Nervous System","hawaii","Female","Hispanic",0,0,41747
1999,"Brain and Other Nervous System","hawaii","Female","White",0,0,139252
1999,"Brain and Other Nervous System","hawaii","Male","Black",0,0,18295
1999,"Brain and Other Nervous System","hawaii","Male","Hispanic",0,0,42386
1999,"Brain and Other Nervous System","hawaii","Male","White",0,0,156121
1999,"Brain and Other Nervous System","idaho","Female","Black",0,0,2651
1999,"Brain and Other Nervous System","idaho","Female","Hispanic",0,0,44548
1999,"Brain and Other Nervous System","idaho","Female","White",30.23,35,616853
1999,"Brain and Other Nervous System","idaho","Male","Black",0,0,3592
1999,"Brain and Other Nervous System","idaho","Male","Hispanic",0,0,51710
1999,"Brain and Other Nervous System","idaho","Male","White",48.29,63,619156
1999,"Brain and Other Nervous System","illinois","Female","Black",0,32,1020831
1999,"Brain and Other Nervous System","illinois","Female","Hispanic",0,20,691920
1999,"Brain and Other Nervous System","illinois","Female","White",222,319,5045484
1999,"Brain and Other Nervous System","illinois","Male","Black",17.15,36,902429
1999,"Brain and Other Nervous System","illinois","Male","Hispanic",0,31,776142
1999,"Brain and Other Nervous System","illinois","Male","White",269.85,376,4906281
1999,"Brain and Other Nervous System","indiana","Female","Black",0,0,273749
1999,"Brain and Other Nervous System","indiana","Female","Hispanic",0,0,89777
1999,"Brain and Other Nervous System","indiana","Female","White",132.91,211,2768991
1999,"Brain and Other Nervous System","indiana","Male","Black",0,0,251422
1999,"Brain and Other Nervous System","indiana","Male","Hispanic",0,0,107218
1999,"Brain and Other Nervous System","indiana","Male","White",144.23,201,2670936
1999,"Brain and Other Nervous System","iowa","Female","Black",0,0,31496
1999,"Brain and Other Nervous System","iowa","Female","Hispanic",0,0,32777
1999,"Brain and Other Nervous System","iowa","Female","White",74.54,89,1433552
1999,"Brain and Other Nervous System","iowa","Male","Black",0,0,33795
1999,"Brain and Other Nervous System","iowa","Male","Hispanic",0,0,39208
1999,"Brain and Other Nervous System","iowa","Male","White",89.24,115,1372916
1999,"Brain and Other Nervous System","kansas","Female","Black",0,0,82123
1999,"Brain and Other Nervous System","kansas","Female","Hispanic",0,0,81237
1999,"Brain and Other Nervous System","kansas","Female","White",69.12,77,1234248
1999,"Brain and Other Nervous System","kansas","Male","Black",0,0,82831
1999,"Brain and Other Nervous System","kansas","Male","Hispanic",0,0,93494
1999,"Brain and Other Nervous System","kansas","Male","White",67.25,82,1200915
1999,"Brain and Other Nervous System","kentucky","Female","Black",0,0,156229
1999,"Brain and Other Nervous System","kentucky","Female","Hispanic",0,0,20597
1999,"Brain and Other Nervous System","kentucky","Female","White",84.64,118,1880797
1999,"Brain and Other Nervous System","kentucky","Male","Black",0,0,147415
1999,"Brain and Other Nervous System","kentucky","Male","Hispanic",0,0,29513
1999,"Brain and Other Nervous System","kentucky","Male","White",96.99,136,1796038
1999,"Brain and Other Nervous System","louisiana","Female","Black",0,33,773609
1999,"Brain and Other Nervous System","louisiana","Female","Hispanic",0,0,51738
1999,"Brain and Other Nervous System","louisiana","Female","White",69.9,93,1487157
1999,"Brain and Other Nervous System","louisiana","Male","Black",0,19,687824
1999,"Brain and Other Nervous System","louisiana","Male","Hispanic",0,0,53188
1999,"Brain and Other Nervous System","louisiana","Male","White",81.42,114,1428404
1999,"Brain and Other Nervous System","maine","Female","Black",0,0,3180
1999,"Brain and Other Nervous System","maine","Female","Hispanic",0,0,4319
1999,"Brain and Other Nervous System","maine","Female","White",40.2,46,638096
1999,"Brain and Other Nervous System","maine","Male","Black",0,0,4365
1999,"Brain and Other Nervous System","maine","Male","Hispanic",0,0,4397
1999,"Brain and Other Nervous System","maine","Male","White",36.23,59,603880
1999,"Brain and Other Nervous System","maryland","Female","Black",0,0,800328
1999,"Brain and Other Nervous System","maryland","Female","Hispanic",0,0,104003
1999,"Brain and Other Nervous System","maryland","Female","White",71.69,0,1792223
1999,"Brain and Other Nervous System","maryland","Male","Black",0,0,703204
1999,"Brain and Other Nervous System","maryland","Male","Hispanic",0,0,111066
1999,"Brain and Other Nervous System","maryland","Male","White",96.29,0,1719420
1999,"Brain and Other Nervous System","massachusetts","Female","Black",0,0,216145
1999,"Brain and Other Nervous System","massachusetts","Female","Hispanic",0,0,209915
1999,"Brain and Other Nervous System","massachusetts","Female","White",134.4,220,2921658
1999,"Brain and Other Nervous System","massachusetts","Male","Black",0,0,200746
1999,"Brain and Other Nervous System","massachusetts","Male","Hispanic",0,0,205257
1999,"Brain and Other Nervous System","massachusetts","Male","White",165.38,220,2711096
1999,"Brain and Other Nervous System","michigan","Female","Black",0,23,766679
1999,"Brain and Other Nervous System","michigan","Female","Hispanic",0,0,146133
1999,"Brain and Other Nervous System","michigan","Female","White",170.23,292,4152047
1999,"Brain and Other Nervous System","michigan","Male","Black",0,28,688403
1999,"Brain and Other Nervous System","michigan","Male","Hispanic",0,0,161537
1999,"Brain and Other Nervous System","michigan","Male","White",238.06,369,4034851
1999,"Brain and Other Nervous System","minnesota","Female","Black",0,0,88181
1999,"Brain and Other Nervous System","minnesota","Female","Hispanic",0,0,59132
1999,"Brain and Other Nervous System","minnesota","Female","White",102.15,148,2269961
1999,"Brain and Other Nervous System","minnesota","Male","Black",0,0,94244
1999,"Brain and Other Nervous System","minnesota","Male","Hispanic",0,0,70216
1999,"Brain and Other Nervous System","minnesota","Male","White",135.11,189,2214981
1999,"Brain and Other Nervous System","mississippi","Female","Black",0,0,552139
1999,"Brain and Other Nervous System","mississippi","Female","Hispanic",0,0,13367
1999,"Brain and Other Nervous System","mississippi","Female","White",57.41,0,897065
1999,"Brain and Other Nervous System","mississippi","Male","Black",18.96,0,486114
1999,"Brain and Other Nervous System","mississippi","Male","Hispanic",0,0,17605
1999,"Brain and Other Nervous System","mississippi","Male","White",82.92,0,863770
1999,"Brain and Other Nervous System","missouri","Female","Black",0,0,341114
1999,"Brain and Other Nervous System","missouri","Female","Hispanic",0,0,51102
1999,"Brain and Other Nervous System","missouri","Female","White",138.34,178,2470291
1999,"Brain and Other Nervous System","missouri","Male","Black",0,0,300905
1999,"Brain and Other Nervous System","missouri","Male","Hispanic",0,0,56567
1999,"Brain and Other Nervous System","missouri","Male","White",136.57,210,2354682
1999,"Brain and Other Nervous System","montana","Female","Black",0,0,1213
1999,"Brain and Other Nervous System","montana","Female","Hispanic",0,0,8131
1999,"Brain and Other Nervous System","montana","Female","White",25.02,31,417059
1999,"Brain and Other Nervous System","montana","Male","Black",0,0,1897
1999,"Brain and Other Nervous System","montana","Male","Hispanic",0,0,8430
1999,"Brain and Other Nervous System","montana","Male","White",21.93,25,413721
1999,"Brain and Other Nervous System","nebraska","Female","Black",0,0,36481
1999,"Brain and Other Nervous System","nebraska","Female","Hispanic",0,0,38968
1999,"Brain and Other Nervous System","nebraska","Female","White",45.33,61,809461
1999,"Brain and Other Nervous System","nebraska","Male","Black",0,0,35543
1999,"Brain and Other Nervous System","nebraska","Male","Hispanic",0,0,46266
1999,"Brain and Other Nervous System","nebraska","Male","White",51.04,60,785277
1999,"Brain and Other Nervous System","nevada","Female","Black",0,0,70681
1999,"Brain and Other Nervous System","nevada","Female","Hispanic",0,0,170329
1999,"Brain and Other Nervous System","nevada","Female","White",38.79,52,808081
1999,"Brain and Other Nervous System","nevada","Male","Black",0,0,73172
1999,"Brain and Other Nervous System","nevada","Male","Hispanic",0,0,194129
1999,"Brain and Other Nervous System","nevada","Male","White",40.78,62,849671
1999,"Brain and Other Nervous System","new england","Female","Black",0,0,436110
1999,"Brain and Other Nervous System","new england","Female","Hispanic",0,0,424292
1999,"Brain and Other Nervous System","new england","Female","White",304.52,462,6479052
1999,"Brain and Other Nervous System","new england","Male","Black",0,0,406530
1999,"Brain and Other Nervous System","new england","Male","Hispanic",0,31,418153
1999,"Brain and Other Nervous System","new england","Male","White",370.34,535,6071197
1999,"Brain and Other Nervous System","new hampshire","Female","Black",0,0,4759
1999,"Brain and Other Nervous System","new hampshire","Female","Hispanic",0,0,9482
1999,"Brain and Other Nervous System","new hampshire","Female","White",29.12,34,606762
1999,"Brain and Other Nervous System","new hampshire","Male","Black",0,0,5806
1999,"Brain and Other Nervous System","new hampshire","Male","Hispanic",0,0,9914
1999,"Brain and Other Nervous System","new hampshire","Male","White",32.77,49,585238
1999,"Brain and Other Nervous System","new jersey","Female","Black",0,22,649064
1999,"Brain and Other Nervous System","new jersey","Female","Hispanic",0,23,537131
1999,"Brain and Other Nervous System","new jersey","Female","White",166.2,279,3391812
1999,"Brain and Other Nervous System","new jersey","Male","Black",0,25,582178
1999,"Brain and Other Nervous System","new jersey","Male","Hispanic",0,24,550315
1999,"Brain and Other Nervous System","new jersey","Male","White",154.43,274,3217379
1999,"Brain and Other Nervous System","new mexico","Female","Black",0,0,20058
1999,"Brain and Other Nervous System","new mexico","Female","Hispanic",0,16,380314
1999,"Brain and Other Nervous System","new mexico","Female","White",31.74,50,793585
1999,"Brain and Other Nervous System","new mexico","Male","Black",0,0,22033
1999,"Brain and Other Nervous System","new mexico","Male","Hispanic",0,19,373255
1999,"Brain and Other Nervous System","new mexico","Male","White",32.33,62,769836
1999,"Brain and Other Nervous System","new york","Female","Black",18.36,61,1835692
1999,"Brain and Other Nervous System","new york","Female","Hispanic",21.46,44,1430890
1999,"Brain and Other Nervous System","new york","Female","White",322.02,533,7318698
1999,"Brain and Other Nervous System","new york","Male","Black",31.5,66,1575076
1999,"Brain and Other Nervous System","new york","Male","Hispanic",27.64,60,1381754
1999,"Brain and Other Nervous System","new york","Male","White",380.44,594,6917065
1999,"Brain and Other Nervous System","north carolina","Female","Black",19.57,24,931896
1999,"Brain and Other Nervous System","north carolina","Female","Hispanic",0,0,131774
1999,"Brain and Other Nervous System","north carolina","Female","White",150.91,187,3018281
1999,"Brain and Other Nervous System","north carolina","Male","Black",15.71,25,826729
1999,"Brain and Other Nervous System","north carolina","Male","Hispanic",0,0,195276
1999,"Brain and Other Nervous System","north carolina","Male","White",180.11,279,2952586
1999,"Brain and Other Nervous System","north dakota","Female","Black",0,0,1656
1999,"Brain and Other Nervous System","north dakota","Female","Hispanic",0,0,3174
1999,"Brain and Other Nervous System","north dakota","Female","White",20,17,302966
1999,"Brain and Other Nervous System","north dakota","Male","Black",0,0,2351
1999,"Brain and Other Nervous System","north dakota","Male","Hispanic",0,0,3529
1999,"Brain and Other Nervous System","north dakota","Male","White",19.03,18,302033
1999,"Brain and Other Nervous System","ohio","Female","Black",17.74,27,709739
1999,"Brain and Other Nervous System","ohio","Female","Hispanic",0,0,99588
1999,"Brain and Other Nervous System","ohio","Female","White",231.72,344,5037428
1999,"Brain and Other Nervous System","ohio","Male","Black",21.69,28,638003
1999,"Brain and Other Nervous System","ohio","Male","Hispanic",0,0,105670
1999,"Brain and Other Nervous System","ohio","Male","White",281.96,383,4779030
1999,"Brain and Other Nervous System","oklahoma","Female","Black",0,0,140624
1999,"Brain and Other Nervous System","oklahoma","Female","Hispanic",0,0,77415
1999,"Brain and Other Nervous System","oklahoma","Female","White",76.92,101,1424430
1999,"Brain and Other Nervous System","oklahoma","Male","Black",0,0,136433
1999,"Brain and Other Nervous System","oklahoma","Male","Hispanic",0,0,90340
1999,"Brain and Other Nervous System","oklahoma","Male","White",82.55,127,1375751
1999,"Brain and Other Nervous System","oregon","Female","Black",0,0,31249
1999,"Brain and Other Nervous System","oregon","Female","Hispanic",0,0,115807
1999,"Brain and Other Nervous System","oregon","Female","White",58.88,84,1591411
1999,"Brain and Other Nervous System","oregon","Male","Black",0,0,35120
1999,"Brain and Other Nervous System","oregon","Male","Hispanic",0,0,143078
1999,"Brain and Other Nervous System","oregon","Male","White",93.77,135,1562845
1999,"Brain and Other Nervous System","pennsylvania","Female","Black",20.98,25,676781
1999,"Brain and Other Nervous System","pennsylvania","Female","Hispanic",0,0,183090
1999,"Brain and Other Nervous System","pennsylvania","Female","White",260.58,370,5544312
1999,"Brain and Other Nervous System","pennsylvania","Male","Black",16.89,19,603144
1999,"Brain and Other Nervous System","pennsylvania","Male","Hispanic",0,0,191312
1999,"Brain and Other Nervous System","pennsylvania","Male","White",316.61,452,5190271
1999,"Brain and Other Nervous System","rhode island","Female","Black",0,0,31432
1999,"Brain and Other Nervous System","rhode island","Female","Hispanic",0,0,43361
1999,"Brain and Other Nervous System","rhode island","Female","White",37.91,40,492396
1999,"Brain and Other Nervous System","rhode island","Male","Black",0,0,30871
1999,"Brain and Other Nervous System","rhode island","Male","Hispanic",0,0,42372
1999,"Brain and Other Nervous System","rhode island","Male","White",27.18,51,452991
1999,"Brain and Other Nervous System","south carolina","Female","Black",0,24,634128
1999,"Brain and Other Nervous System","south carolina","Female","Hispanic",0,0,33537
1999,"Brain and Other Nervous System","south carolina","Female","White",73.38,89,1384465
1999,"Brain and Other Nervous System","south carolina","Male","Black",25.13,23,558524
1999,"Brain and Other Nervous System","south carolina","Male","Hispanic",0,0,49093
1999,"Brain and Other Nervous System","south carolina","Male","White",103.59,125,1345376
1999,"Brain and Other Nervous System","south dakota","Female","Black",0,0,1691
1999,"Brain and Other Nervous System","south dakota","Female","Hispanic",0,0,3877
1999,"Brain and Other Nervous System","south dakota","Female","White",30.14,0,342471
1999,"Brain and Other Nervous System","south dakota","Male","Black",0,0,3058
1999,"Brain and Other Nervous System","south dakota","Male","Hispanic",0,0,4315
1999,"Brain and Other Nervous System","south dakota","Male","White",29.88,0,335726
1999,"Brain and Other Nervous System","tennessee","Female","Black",0,0,498124
1999,"Brain and Other Nervous System","tennessee","Female","Hispanic",0,0,43819
1999,"Brain and Other Nervous System","tennessee","Female","White",111.01,0,2362012
1999,"Brain and Other Nervous System","tennessee","Male","Black",15.9,0,441667
1999,"Brain and Other Nervous System","tennessee","Male","Hispanic",0,0,61950
1999,"Brain and Other Nervous System","tennessee","Male","White",144.85,0,2263315
1999,"Brain and Other Nervous System","texas","Female","Black",26.75,44,1273788
1999,"Brain and Other Nervous System","texas","Female","Hispanic",69.83,120,3174080
1999,"Brain and Other Nervous System","texas","Female","White",357.37,534,8716280
1999,"Brain and Other Nervous System","texas","Male","Black",23.75,46,1187505
1999,"Brain and Other Nervous System","texas","Male","Hispanic",55.83,128,3284137
1999,"Brain and Other Nervous System","texas","Male","White",432.12,611,8642333
1999,"Brain and Other Nervous System","utah","Female","Black",0,0,9293
1999,"Brain and Other Nervous System","utah","Female","Hispanic",0,0,88652
1999,"Brain and Other Nervous System","utah","Female","White",38.69,50,1045601
1999,"Brain and Other Nervous System","utah","Male","Black",0,0,12081
1999,"Brain and Other Nervous System","utah","Male","Hispanic",0,0,101936
1999,"Brain and Other Nervous System","utah","Male","White",46.06,68,1046887
1999,"Brain and Other Nervous System","vermont","Female","Black",0,0,1475
1999,"Brain and Other Nervous System","vermont","Female","Hispanic",0,0,2435
1999,"Brain and Other Nervous System","vermont","Female","White",0,18,302824
1999,"Brain and Other Nervous System","vermont","Male","Black",0,0,2060
1999,"Brain and Other Nervous System","vermont","Male","Hispanic",0,0,2444
1999,"Brain and Other Nervous System","vermont","Male","White",0,23,290533
1999,"Brain and Other Nervous System","virginia","Female","Black",0,0,742318
1999,"Brain and Other Nervous System","virginia","Female","Hispanic",0,0,142464
1999,"Brain and Other Nervous System","virginia","Female","White",109.66,0,2674592
1999,"Brain and Other Nervous System","virginia","Male","Black",16.32,0,680199
1999,"Brain and Other Nervous System","virginia","Male","Hispanic",0,0,161727
1999,"Brain and Other Nervous System","virginia","Male","White",143.42,0,2607592
1999,"Brain and Other Nervous System","washington","Female","Black",0,0,104049
1999,"Brain and Other Nervous System","washington","Female","Hispanic",0,0,196355
1999,"Brain and Other Nervous System","washington","Female","White",139.26,203,2578841
1999,"Brain and Other Nervous System","washington","Male","Black",0,0,118270
1999,"Brain and Other Nervous System","washington","Male","Hispanic",0,0,224523
1999,"Brain and Other Nervous System","washington","Male","White",179.18,244,2559766
1999,"Brain and Other Nervous System","west virginia","Female","Black",0,0,29770
1999,"Brain and Other Nervous System","west virginia","Female","Hispanic",0,0,4951
1999,"Brain and Other Nervous System","west virginia","Female","White",43.01,62,896008
1999,"Brain and Other Nervous System","west virginia","Male","Black",0,0,30005
1999,"Brain and Other Nervous System","west virginia","Male","Hispanic",0,0,5378
1999,"Brain and Other Nervous System","west virginia","Male","White",47.27,70,844088
1999,"Brain and Other Nervous System","wisconsin","Female","Black",0,0,163158
1999,"Brain and Other Nervous System","wisconsin","Female","Hispanic",0,0,82177
1999,"Brain and Other Nervous System","wisconsin","Female","White",101.14,179,2466785
1999,"Brain and Other Nervous System","wisconsin","Male","Black",0,0,152072
1999,"Brain and Other Nervous System","wisconsin","Male","Hispanic",0,0,96657
1999,"Brain and Other Nervous System","wisconsin","Male","White",144.47,198,2407804
1999,"Brain and Other Nervous System","wyoming","Female","Black",0,0,1864
1999,"Brain and Other Nervous System","wyoming","Female","Hispanic",0,0,14728
1999,"Brain and Other Nervous System","wyoming","Female","White",0,0,235025
1999,"Brain and Other Nervous System","wyoming","Male","Black",0,0,2386
1999,"Brain and Other Nervous System","wyoming","Male","Hispanic",0,0,15618
1999,"Brain and Other Nervous System","wyoming","Male","White",17.12,21,237714
1999,"Breast","alabama","Female","Black",193.28,575,623475
1999,"Breast","alabama","Female","Hispanic",0,0,28101
1999,"Breast","alabama","Female","White",459.39,2312,1640665
1999,"Breast","alaska","Female","Black",0,0,12710
1999,"Breast","alaska","Female","Hispanic",0,0,11664
1999,"Breast","alaska","Female","White",36.09,252,220036
1999,"Breast","arizona","Female","Black",20.04,55,84913
1999,"Breast","arizona","Female","Hispanic",50.85,290,598243
1999,"Breast","arizona","Female","White",648.21,3071,2235195
1999,"Breast","arkansas","Female","Black",82.89,179,224639
1999,"Breast","arkansas","Female","Hispanic",0,0,32674
1999,"Breast","arkansas","Female","White",316.48,1633,1114373
1999,"Breast","california","Female","Black",310.9,1273,1274187
1999,"Breast","california","Female","Hispanic",442.33,2703,5203897
1999,"Breast","california","Female","White",3498.86,18620,13203242
1999,"Breast","colorado","Female","Black",24.03,66,88362
1999,"Breast","colorado","Female","Hispanic",35.9,223,335514
1999,"Breast","colorado","Female","White",461.38,2725,1930473
1999,"Breast","connecticut","Female","Black",41.91,173,179119
1999,"Breast","connecticut","Female","Hispanic",0,108,154780
1999,"Breast","connecticut","Female","White",496.16,2701,1517316
1999,"Breast","delaware","Female","Black",25.01,82,80684
1999,"Breast","delaware","Female","Hispanic",0,0,16125
1999,"Breast","delaware","Female","White",94.11,479,307558
1999,"Breast","district of columbia","Female","Black",85.97,265,193200
1999,"Breast","district of columbia","Female","Hispanic",0,0,20837
1999,"Breast","district of columbia","Female","White",29.02,157,98382
1999,"Breast","florida","Female","Black",293.75,971,1255363
1999,"Breast","florida","Female","Hispanic",209.28,0,1283913
1999,"Breast","florida","Female","White",2273.76,11933,6629027
1999,"Breast","georgia","Female","Black",298.62,974,1239075
1999,"Breast","georgia","Female","Hispanic",0,65,155194
1999,"Breast","georgia","Female","White",705.62,3645,2756311
1999,"Breast","hawaii","Female","Black",0,0,12866
1999,"Breast","hawaii","Female","Hispanic",0,21,41747
1999,"Breast","hawaii","Female","White",38.02,260,139252
1999,"Breast","idaho","Female","Black",0,0,2651
1999,"Breast","idaho","Female","Hispanic",0,19,44548
1999,"Breast","idaho","Female","White",169.02,795,616853
1999,"Breast","illinois","Female","Black",345.04,1046,1020831
1999,"Breast","illinois","Female","Hispanic",40.13,343,691920
1999,"Breast","illinois","Female","White",1634.74,7670,5045484
1999,"Breast","indiana","Female","Black",76.92,271,273749
1999,"Breast","indiana","Female","Hispanic",0,45,89777
1999,"Breast","indiana","Female","White",816.85,4008,2768991
1999,"Breast","iowa","Female","Black",0,23,31496
1999,"Breast","iowa","Female","Hispanic",0,0,32777
1999,"Breast","iowa","Female","White",471.64,2289,1433552
1999,"Breast","kansas","Female","Black",22.01,70,82123
1999,"Breast","kansas","Female","Hispanic",0,0,81237
1999,"Breast","kansas","Female","White",362.87,1873,1234248
1999,"Breast","kentucky","Female","Black",47.96,167,156229
1999,"Breast","kentucky","Female","Hispanic",0,0,20597
1999,"Breast","kentucky","Female","White",551.07,2708,1880797
1999,"Breast","louisiana","Female","Black",239.82,721,773609
1999,"Breast","louisiana","Female","Hispanic",0,34,51738
1999,"Breast","louisiana","Female","White",440.2,2229,1487157
1999,"Breast","maine","Female","Black",0,0,3180
1999,"Breast","maine","Female","Hispanic",0,0,4319
1999,"Breast","maine","Female","White",215.04,968,638096
1999,"Breast","maryland","Female","Black",216.09,0,800328
1999,"Breast","maryland","Female","Hispanic",0,0,104003
1999,"Breast","maryland","Female","White",571.72,0,1792223
1999,"Breast","massachusetts","Female","Black",27.02,146,216145
1999,"Breast","massachusetts","Female","Hispanic",18.05,105,209915
1999,"Breast","massachusetts","Female","White",1007.97,4924,2921658
1999,"Breast","michigan","Female","Black",224.64,801,766679
1999,"Breast","michigan","Female","Hispanic",0,70,146133
1999,"Breast","michigan","Female","White",1291.29,6242,4152047
1999,"Breast","minnesota","Female","Black",20.99,42,88181
1999,"Breast","minnesota","Female","Hispanic",0,0,59132
1999,"Breast","minnesota","Female","White",637.86,3364,2269961
1999,"Breast","mississippi","Female","Black",161.78,0,552139
1999,"Breast","mississippi","Female","Hispanic",0,0,13367
1999,"Breast","mississippi","Female","White",266.43,0,897065
1999,"Breast","missouri","Female","Black",103.02,370,341114
1999,"Breast","missouri","Female","Hispanic",0,38,51102
1999,"Breast","missouri","Female","White",746.03,3656,2470291
1999,"Breast","montana","Female","Black",0,0,1213
1999,"Breast","montana","Female","Hispanic",0,0,8131
1999,"Breast","montana","Female","White",120.11,653,417059
1999,"Breast","nebraska","Female","Black",0,28,36481
1999,"Breast","nebraska","Female","Hispanic",0,0,38968
1999,"Breast","nebraska","Female","White",237.17,1198,809461
1999,"Breast","nevada","Female","Black",19.01,39,70681
1999,"Breast","nevada","Female","Hispanic",0,54,170329
1999,"Breast","nevada","Female","White",217.37,887,808081
1999,"Breast","new england","Female","Black",74.14,342,436110
1999,"Breast","new england","Female","Hispanic",27.15,260,424292
1999,"Breast","new england","Female","White",2170.48,10774,6479052
1999,"Breast","new hampshire","Female","Black",0,0,4759
1999,"Breast","new hampshire","Female","Hispanic",0,0,9482
1999,"Breast","new hampshire","Female","White",186.28,866,606762
1999,"Breast","new jersey","Female","Black",172,617,649064
1999,"Breast","new jersey","Female","Hispanic",38.14,385,537131
1999,"Breast","new jersey","Female","White",1244.8,5843,3391812
1999,"Breast","new mexico","Female","Black",0,0,20058
1999,"Breast","new mexico","Female","Hispanic",66.17,278,380314
1999,"Breast","new mexico","Female","White",203.95,1107,793585
1999,"Breast","new york","Female","Black",484.62,1605,1835692
1999,"Breast","new york","Female","Hispanic",167.41,958,1430890
1999,"Breast","new york","Female","White",2605.46,11925,7318698
1999,"Breast","north carolina","Female","Black",299.14,904,931896
1999,"Breast","north carolina","Female","Hispanic",0,55,131774
1999,"Breast","north carolina","Female","White",857.19,4362,3018281
1999,"Breast","north dakota","Female","Black",0,0,1656
1999,"Breast","north dakota","Female","Hispanic",0,0,3174
